userId,movieId,rating,title
1,1,4.0,Toy Story (1995)
1,3,4.0,Grumpier Old Men (1995)
1,6,4.0,Heat (1995)
1,47,5.0,Seven (a.k.a. Se7en) (1995)
1,50,5.0,"Usual Suspects, The (1995)"
1,70,3.0,From Dusk Till Dawn (1996)
1,101,5.0,Bottle Rocket (1996)
1,110,4.0,Braveheart (1995)
1,151,5.0,Rob Roy (1995)
1,157,5.0,Canadian Bacon (1995)
1,163,5.0,Desperado (1995)
1,216,5.0,Billy Madison (1995)
1,223,3.0,Clerks (1994)
1,231,5.0,Dumb & Dumber (Dumb and Dumber) (1994)
1,235,4.0,Ed Wood (1994)
1,260,5.0,Star Wars: Episode IV - A New Hope (1977)
1,296,3.0,Pulp Fiction (1994)
1,316,3.0,Stargate (1994)
1,333,5.0,Tommy Boy (1995)
1,349,4.0,Clear and Present Danger (1994)
1,356,4.0,Forrest Gump (1994)
1,362,5.0,"Jungle Book, The (1994)"
1,367,4.0,"Mask, The (1994)"
1,423,3.0,Blown Away (1994)
1,441,4.0,Dazed and Confused (1993)
1,457,5.0,"Fugitive, The (1993)"
1,480,4.0,Jurassic Park (1993)
1,500,3.0,Mrs. Doubtfire (1993)
1,527,5.0,Schindler's List (1993)
1,543,4.0,So I Married an Axe Murderer (1993)
1,552,4.0,"Three Musketeers, The (1993)"
1,553,5.0,Tombstone (1993)
1,590,4.0,Dances with Wolves (1990)
1,592,4.0,Batman (1989)
1,593,4.0,"Silence of the Lambs, The (1991)"
1,596,5.0,Pinocchio (1940)
1,608,5.0,Fargo (1996)
1,648,3.0,Mission: Impossible (1996)
1,661,5.0,James and the Giant Peach (1996)
1,673,3.0,Space Jam (1996)
1,733,4.0,"Rock, The (1996)"
1,736,3.0,Twister (1996)
1,780,3.0,Independence Day (a.k.a. ID4) (1996)
1,804,4.0,She's the One (1996)
1,919,5.0,"Wizard of Oz, The (1939)"
1,923,5.0,Citizen Kane (1941)
1,940,5.0,"Adventures of Robin Hood, The (1938)"
1,943,4.0,"Ghost and Mrs. Muir, The (1947)"
1,954,5.0,Mr. Smith Goes to Washington (1939)
1,1009,3.0,Escape to Witch Mountain (1975)
1,1023,5.0,Winnie the Pooh and the Blustery Day (1968)
1,1024,5.0,"Three Caballeros, The (1945)"
1,1025,5.0,"Sword in the Stone, The (1963)"
1,1029,5.0,Dumbo (1941)
1,1030,3.0,Pete's Dragon (1977)
1,1031,5.0,Bedknobs and Broomsticks (1971)
1,1032,5.0,Alice in Wonderland (1951)
1,1042,4.0,That Thing You Do! (1996)
1,1049,5.0,"Ghost and the Darkness, The (1996)"
1,1060,4.0,Swingers (1996)
1,1073,5.0,Willy Wonka & the Chocolate Factory (1971)
1,1080,5.0,Monty Python's Life of Brian (1979)
1,1089,5.0,Reservoir Dogs (1992)
1,1090,4.0,Platoon (1986)
1,1092,5.0,Basic Instinct (1992)
1,1097,5.0,E.T. the Extra-Terrestrial (1982)
1,1127,4.0,"Abyss, The (1989)"
1,1136,5.0,Monty Python and the Holy Grail (1975)
1,1196,5.0,Star Wars: Episode V - The Empire Strikes Back (1980)
1,1197,5.0,"Princess Bride, The (1987)"
1,1198,5.0,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1,1206,5.0,"Clockwork Orange, A (1971)"
1,1208,4.0,Apocalypse Now (1979)
1,1210,5.0,Star Wars: Episode VI - Return of the Jedi (1983)
1,1213,5.0,Goodfellas (1990)
1,1214,4.0,Alien (1979)
1,1219,2.0,Psycho (1960)
1,1220,5.0,"Blues Brothers, The (1980)"
1,1222,5.0,Full Metal Jacket (1987)
1,1224,5.0,Henry V (1989)
1,1226,5.0,"Quiet Man, The (1952)"
1,1240,5.0,"Terminator, The (1984)"
1,1256,5.0,Duck Soup (1933)
1,1258,3.0,"Shining, The (1980)"
1,1265,4.0,Groundhog Day (1993)
1,1270,5.0,Back to the Future (1985)
1,1275,5.0,Highlander (1986)
1,1278,5.0,Young Frankenstein (1974)
1,1282,5.0,Fantasia (1940)
1,1291,5.0,Indiana Jones and the Last Crusade (1989)
1,1298,5.0,Pink Floyd: The Wall (1982)
1,1348,4.0,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
1,1377,3.0,Batman Returns (1992)
1,1396,3.0,Sneakers (1992)
1,1408,3.0,"Last of the Mohicans, The (1992)"
1,1445,3.0,McHale's Navy (1997)
1,1473,4.0,Best Men (1997)
1,1500,4.0,Grosse Pointe Blank (1997)
1,1517,5.0,Austin Powers: International Man of Mystery (1997)
1,1552,4.0,Con Air (1997)
1,1573,5.0,Face/Off (1997)
1,1580,3.0,Men in Black (a.k.a. MIB) (1997)
1,1587,5.0,Conan the Barbarian (1982)
1,1617,5.0,L.A. Confidential (1997)
1,1620,4.0,Kiss the Girls (1997)
1,1625,5.0,"Game, The (1997)"
1,1644,3.0,I Know What You Did Last Summer (1997)
1,1676,3.0,Starship Troopers (1997)
1,1732,5.0,"Big Lebowski, The (1998)"
1,1777,4.0,"Wedding Singer, The (1998)"
1,1793,4.0,Welcome to Woop-Woop (1997)
1,1804,5.0,"Newton Boys, The (1998)"
1,1805,4.0,Wild Things (1998)
1,1920,4.0,Small Soldiers (1998)
1,1927,5.0,All Quiet on the Western Front (1930)
1,1954,5.0,Rocky (1976)
1,1967,4.0,Labyrinth (1986)
1,2000,4.0,Lethal Weapon (1987)
1,2005,5.0,"Goonies, The (1985)"
1,2012,4.0,Back to the Future Part III (1990)
1,2018,5.0,Bambi (1942)
1,2028,4.0,Saving Private Ryan (1998)
1,2033,5.0,"Black Cauldron, The (1985)"
1,2046,4.0,Flight of the Navigator (1986)
1,2048,5.0,"Great Mouse Detective, The (1986)"
1,2054,4.0,"Honey, I Shrunk the Kids (1989)"
1,2058,5.0,"Negotiator, The (1998)"
1,2078,5.0,"Jungle Book, The (1967)"
1,2090,5.0,"Rescuers, The (1977)"
1,2093,3.0,Return to Oz (1985)
1,2094,5.0,"Rocketeer, The (1991)"
1,2096,4.0,Sleeping Beauty (1959)
1,2099,4.0,Song of the South (1946)
1,2105,4.0,Tron (1982)
1,2115,5.0,Indiana Jones and the Temple of Doom (1984)
1,2116,5.0,"Lord of the Rings, The (1978)"
1,2137,5.0,Charlotte's Web (1973)
1,2139,5.0,"Secret of NIMH, The (1982)"
1,2141,5.0,"American Tail, An (1986)"
